step,material,param,U234,U235,U236,U237,U238,U239,Np236,Np237,Np238,Np239,Pu236,Pu238,Pu239,Pu240,Pu241,Pu242,Pu243,Am241,Am242,Am243,Am244,Am242m,Cm242,Cm243,Cm244,Cm245,Cm246,Cm247,Cm248,Cm249,Bk249,Bk250,Cf249,Cf250,Cf251,Kr83,Rh103,Rh105,Ag109,I135,Xe131,Xe135,Cs133,Cs134,Cs135,Cs137,Ba140,La140,Nd143,Nd145,Pm147,Pm148,Pm149,Pm148m,Sm147,Sm149,Sm150,Sm151,Sm152,Eu153,Eu154,Eu155,Eu156,Gd152,Gd154,Gd155,Gd156,Gd157,Gd160,lost,total
0,TOT,A,9.67838e+07,4.354e+06,0,0,1.43858e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15524e+08
0,TOT,ADENS,7.92447e-06,0.0010223,0,0,0.0214369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067402
0,TOT,BURNUP,0
0,TOT,GSRC,9.66905e+06,5.29072e+06,0,0,1.04596e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60057e+07
0,TOT,H,7.52648e-05,3.21772e-06,0,0,9.85391e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.83364e-05
0,TOT,ING_TOX,4.7424,0.204638,0,0,0.647361,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.5944
0,TOT,INH_TOX,909.767,37.009,0,0,115.086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1061.86
0,TOT,MASS,0.420417,54.4683,0,0,1156.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1374.59
0,TOT,SF,0.00164532,0.000313488,0,0,785.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,785.467
0,TOT,VOLUME,136.509
0,UO2_4p55,A,9.67838e+07,4.354e+06,0,0,1.43858e+07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.15524e+08
0,UO2_4p55,ADENS,7.92447e-06,0.0010223,0,0,0.0214369,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.067402
0,UO2_4p55,BURNUP,0
0,UO2_4p55,GSRC,9.66905e+06,5.29072e+06,0,0,1.04596e+06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.60057e+07
